CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,CreditScoreBins,Geography_France,Geography_Germany,Geography_Spain,Gender_Male,Gender_Female
436,0.3648648648648649,3,0.4158625121458677,2,1,1,0.9177308432955347,0,0,1,0,1,0
437,0.13513513513513514,2,0.43508202872329566,1,1,0,0.7649522529401558,0,0,0,1,1,0
437,0.33783783783783783,6,0.0,1,1,0,0.7416677792729206,0,1,0,0,0,1
437,0.22972972972972974,6,0.5053977891979967,2,1,1,0.8056860430171081,0,0,1,0,1,0
437,0.41891891891891897,9,0.4449387797252662,2,0,1,0.8322231773134334,0,1,0,0,1,0
438,0.2702702702702703,2,0.0,1,0,0,0.9588490200814178,0,0,0,1,0,1
438,0.2702702702702703,2,0.0,2,1,0,0.6843052011467095,0,1,0,0,1,0
438,0.24324324324324326,4,0.0,2,1,0,0.32207535819670774,0,1,0,0,0,1
438,0.5675675675675675,7,0.31244227486945003,1,0,1,0.24708869697056066,0,1,0,0,1,0
438,0.5540540540540541,7,0.5069673507677959,1,1,0,0.2577966195771696,0,0,1,0,1,0
438,0.17567567567567569,8,0.31247224719805566,1,1,0,0.2246486039416764,0,0,1,0,1,0
439,0.4594594594594595,3,0.3834076217957658,4,1,0,0.9944096661231147,0,0,0,1,1,0
439,0.13513513513513514,7,0.4423159618313555,2,1,0,0.6926430474110277,0,1,0,0,1,0
439,0.33783783783783783,8,0.0,1,0,1,0.5244386838943118,0,1,0,0,0,1
439,0.6486486486486487,9,0.0,1,1,0,0.32765119068871074,0,1,0,0,0,1
441,0.5675675675675675,1,0.5604432859572587,1,0,1,0.8719315194601085,0,1,0,0,1,0
442,0.21621621621621623,4,0.0,2,1,0,0.3416901314075494,0,1,0,0,1,0
443,0.35135135135135137,2,0.0,1,1,0,0.7958466033506201,0,1,0,0,1,0
443,0.43243243243243246,3,0.4671470396606049,1,1,0,0.2141634526097242,0,0,1,0,1,0
443,0.4864864864864865,3,0.5522081495319475,1,1,1,0.3509567663711884,0,1,0,0,0,1
443,0.5540540540540541,4,0.44216877059526444,1,1,0,0.36420978203418425,0,0,1,0,1,0
443,0.22972972972972974,6,0.6421390055221227,1,0,0,0.06968205463621775,0,1,0,0,1,0
443,0.24324324324324326,6,0.28074350825070055,2,0,1,0.2846564346895128,0,0,0,1,1,0
443,0.22972972972972974,9,0.43168124556069765,1,1,0,0.6451596627477924,0,1,0,0,0,1
443,0.14864864864864866,9,0.3946925622271577,2,1,0,0.05464931900996545,0,0,1,0,0,1
444,0.21621621621621623,2,0.5752095203275561,1,1,0,0.5633361986069669,0,1,0,0,1,0
444,0.33783783783783783,3,0.0,2,1,1,0.7956741368800719,0,1,0,0,1,0
444,0.3648648648648649,4,0.0,2,1,0,0.8082867913885776,0,1,0,0,0,1
444,0.2972972972972973,5,0.33619255531199943,1,1,0,0.7191895826051389,0,1,0,0,0,1
444,0.3648648648648649,6,0.0,1,1,0,0.6500534301025748,0,1,0,0,1,0
444,0.24324324324324326,7,0.0,2,0,1,0.6937276509906696,0,1,0,0,1,0
445,0.5945945945945946,1,0.2555594584239362,1,1,1,0.3828268599651266,0,0,0,1,1,0
445,0.6216216216216217,2,0.5451243969214753,1,0,1,0.21835325273563622,0,1,0,0,1,0
445,0.16216216216216217,3,0.0,2,1,1,0.639699141267991,0,1,0,0,0,1
445,0.2567567567567568,3,0.0,2,1,1,0.9000900085958209,0,1,0,0,1,0
445,0.2702702702702703,6,0.4759447152427506,2,1,0,0.8788078261473969,0,0,1,0,0,1
445,0.0945945945945946,6,0.0,2,1,0,0.5971288258028641,0,1,0,0,1,0
445,0.40540540540540543,7,0.6707367919779701,1,1,0,0.08317889358433729,0,0,1,0,0,1
445,0.17567567567567569,7,0.5781494390810229,1,1,1,0.8794937416523277,0,1,0,0,1,0
445,0.2702702702702703,7,0.5224518448904893,2,1,1,0.3530658177855985,0,0,1,0,0,1
445,0.3648648648648649,10,0.0,2,0,1,0.45487294036580483,0,0,0,1,1,0
446,0.28378378378378377,1,0.3595765515791691,1,1,0,0.9567858730508764,0,1,0,0,0,1
446,0.44594594594594594,4,0.4187203258502287,1,0,0,0.3530434156461942,0,1,0,0,0,1
446,0.2702702702702703,8,0.0,2,0,0,0.6664704479277771,0,1,0,0,1,0
446,0.3648648648648649,10,0.49897426481006696,1,1,1,0.641307644880086,0,0,0,1,0,1
447,0.31081081081081086,3,0.0,4,1,1,0.9874883551379157,0,1,0,0,1,0
447,0.35135135135135137,5,0.3554783139241913,1,1,1,0.3770193053436603,0,1,0,0,0,1
448,0.0945945945945946,2,0.0,2,0,0,0.4760662143234678,0,0,0,1,1,0
448,0.24324324324324326,6,0.3345865247519421,2,1,0,0.40997890298523504,0,1,0,0,0,1
449,0.1891891891891892,0,0.6202492812918584,1,1,1,0.8334818475164378,0,0,0,1,1,0
449,0.17567567567567569,1,0.45314414310607154,1,0,0,0.41396308347447175,0,0,0,1,0,1
449,0.2702702702702703,6,0.0,2,0,1,0.618111129612878,0,1,0,0,1,0
449,0.2567567567567568,6,0.0,2,1,0,0.41086373748692995,0,1,0,0,0,1
449,0.04054054054054054,7,0.0,2,0,0,0.8787456202067297,0,1,0,0,0,1
449,0.20270270270270271,8,0.0,2,0,0,0.7839814202256316,0,0,0,1,0,1
450,0.21621621621621623,2,0.0,2,1,0,0.8774305446170109,0,0,0,1,0,1
450,0.3783783783783784,5,0.7079356801799488,1,1,0,0.27110329036422975,0,0,0,1,0,1
450,0.14864864864864866,7,0.4671211327276346,1,1,1,0.2173660084538073,0,1,0,0,1,0
451,0.2702702702702703,2,0.0,2,1,1,0.9007402206910761,0,1,0,0,0,1
451,0.20270270270270271,6,0.0,2,1,0,0.9248009684924909,0,1,0,0,1,0
451,0.17567567567567569,7,0.561709417556746,1,0,1,0.10189568103753907,0,1,0,0,0,1
451,0.2702702702702703,9,0.24504957371337505,1,1,1,0.8377154018208739,0,0,1,0,0,1
451,0.06756756756756757,9,0.0,2,0,1,0.240073577026606,0,0,0,1,0,1
452,0.35135135135135137,3,0.35439030245307973,1,1,0,0.3484640783194795,0,0,0,1,1,0
452,0.22972972972972974,4,0.5905682263264739,1,1,1,0.020822488547656302,0,1,0,0,1,0
452,0.1891891891891892,5,0.0,2,0,1,0.376374993811909,0,1,0,0,0,1
452,0.5675675675675675,6,0.4851790222874954,1,1,1,0.7148268159609243,0,1,0,0,0,1
452,0.20270270270270271,6,0.5249086192724705,2,1,0,0.758134051801947,0,1,0,0,0,1
452,0.2702702702702703,7,0.6124529285974238,1,1,0,0.5593366666516651,0,0,1,0,1,0
452,0.16216216216216217,7,0.4501264636968739,1,1,1,0.4950760797656175,0,1,0,0,1,0
452,0.22972972972972974,7,0.0,2,1,0,0.8212288773577877,0,1,0,0,0,1
452,0.2702702702702703,8,0.0,2,1,1,0.7480875923650708,0,1,0,0,0,1
453,0.2972972972972973,1,0.4445011518421683,1,1,1,0.6018687784683436,0,0,1,0,0,1
453,0.13513513513513514,3,0.5579422705051282,1,1,0,0.6842411950341257,0,0,1,0,0,1
453,0.2567567567567568,4,0.5254514293034276,2,1,0,0.04469236812115557,0,1,0,0,0,1
453,0.32432432432432434,5,0.0,3,1,0,0.4150241848096493,0,0,0,1,0,1
453,0.14864864864864866,6,0.0,1,0,0,0.9919169280666302,0,1,0,0,1,0
454,0.2972972972972973,2,0.49094439100752024,1,1,0,0.7415628192492384,0,0,0,1,1,0
454,0.21621621621621623,4,0.0,2,1,0,0.9941256389985244,0,1,0,0,1,0
454,0.40540540540540543,5,0.5772773718604236,1,1,1,0.4657454286884397,0,0,0,1,0,1
454,0.43243243243243246,10,0.3702521609471001,1,1,0,0.7717358007689734,0,0,1,0,0,1
455,0.2972972972972973,1,0.0,3,0,1,0.6498808636224759,0,1,0,0,1,0
455,0.12162162162162163,5,0.6212844824765307,2,0,0,0.3538507427459322,0,1,0,0,0,1
455,0.33783783783783783,6,0.0,1,1,1,0.40623484542773824,0,0,0,1,0,1
456,0.20270270270270271,1,0.7504468447727124,1,0,0,0.2917896659130947,0,1,0,0,0,1
456,0.6081081081081081,1,0.6590349492098565,2,0,0,0.7037996628678039,0,1,0,0,0,1
456,0.2702702702702703,5,0.426469926494857,1,1,1,0.7671134593353665,0,1,0,0,1,0
456,0.1891891891891892,9,0.5879130048379404,1,1,1,0.6770028037677598,0,0,0,1,1,0
456,0.1891891891891892,9,0.5303373572911616,1,1,1,0.6258414678601806,0,0,1,0,1,0
457,0.32432432432432434,4,0.5052751497629975,1,0,1,0.6305343160271805,0,0,1,0,1,0
457,0.20270270270270271,7,0.5095197815176672,1,0,1,0.30003660349563377,0,1,0,0,0,1
457,0.2702702702702703,7,0.6556326913449202,1,1,1,0.8166564406900858,0,1,0,0,0,1
457,0.35135135135135137,7,0.0,2,0,0,0.9299927143042159,0,0,0,1,1,0
457,0.31081081081081086,8,0.2937452413448026,3,1,1,0.9287808985758139,0,1,0,0,1,0
458,0.13513513513513514,2,0.6852673131150581,2,1,1,0.04783786851644332,0,0,1,0,0,1
458,0.22972972972972974,5,0.6635860799099748,1,1,0,0.6764454005357511,0,0,0,1,0,1
458,0.24324324324324326,5,0.0,2,1,0,0.3985990662108231,0,0,0,1,1,0
458,0.35135135135135137,7,0.33633803270483253,1,1,0,0.8932410545207068,0,0,1,0,1,0
458,0.28378378378378377,9,0.0,2,1,0,0.5817131036013938,0,1,0,0,0,1
458,0.22972972972972974,9,0.5850204758433992,2,1,1,0.0173256546000143,0,0,1,0,1,0
459,0.10810810810810811,4,0.5973726623427066,1,0,0,0.25004682947221457,0,1,0,0,1,0
459,0.40540540540540543,4,0.5340595458498708,1,1,1,0.09638660492076992,0,0,1,0,1,0
459,0.43243243243243246,5,0.4359853835475591,1,1,0,0.7786222084209041,0,0,1,0,1,0
459,0.32432432432432434,6,0.5166808962156707,2,1,1,0.8884420462154135,0,0,0,1,0,1
459,0.3783783783783784,7,0.43984559627377,1,1,0,0.024790117456217068,0,0,1,0,1,0
460,0.3783783783783784,4,0.5084134757661967,2,1,1,0.6347652200785174,0,0,1,0,1,0
460,0.2972972972972973,6,0.47631920992304094,2,1,0,0.4577889688465248,0,0,1,0,0,1
460,0.12162162162162163,7,0.0,2,1,0,0.7807670632545407,0,1,0,0,0,1
460,0.2702702702702703,8,0.4095005665447673,2,1,1,0.9467305127639689,0,0,1,0,0,1
461,0.21621621621621623,5,0.25374417955911904,1,0,1,0.8389436191156255,0,0,1,0,0,1
461,0.22972972972972974,5,0.0,1,1,1,0.271013081749307,0,1,0,0,0,1
461,0.0945945945945946,6,0.0,2,1,1,0.0764808539215495,0,0,0,1,0,1
461,0.2972972972972973,7,0.0,2,1,0,0.882765404096091,0,1,0,0,0,1
461,0.22972972972972974,8,0.0,1,1,0,0.6614850218195838,0,0,0,1,0,1
461,0.13513513513513514,8,0.0,1,1,1,0.5167401486841993,0,1,0,0,0,1
461,0.44594594594594594,9,0.47784277672261277,1,0,0,0.2838075536213708,0,1,0,0,1,0
462,0.21621621621621623,1,0.377374574672928,2,1,0,0.692399224125904,0,0,1,0,1,0
462,0.12162162162162163,4,0.7051210314115983,1,1,0,0.4029169285666781,0,1,0,0,1,0
462,0.28378378378378377,4,0.5585258939197185,2,0,0,0.6565270483331158,0,1,0,0,1,0
462,0.08108108108108109,9,0.2785238022338074,2,0,1,0.32207795844503145,0,0,1,0,0,1
463,0.22972972972972974,2,0.4035788395200618,1,1,1,0.5905666991197659,0,1,0,0,1,0
463,0.22972972972972974,2,0.0,2,1,1,0.00969767612807023,0,0,0,1,0,1
463,0.31081081081081086,8,0.49084275611663686,2,1,0,0.3506152337548235,0,0,1,0,0,1
464,0.2702702702702703,3,0.4640914165588108,1,1,0,0.3778505847308417,0,1,0,0,1,0
464,0.2567567567567568,4,0.6217430750469245,1,0,0,0.7183379012695712,0,0,1,0,1,0
464,0.3783783783783784,6,0.6448774879075405,1,1,0,0.9147518087977402,0,1,0,0,1,0
464,0.20270270270270271,8,0.654786650627751,2,1,1,0.018495566326584188,0,0,1,0,1,0
465,0.472972972972973,1,0.46807119974488454,1,0,0,0.37447186206282695,0,0,1,0,1,0
465,0.08108108108108109,5,0.4669421756060399,1,1,1,0.6387231980654152,0,0,1,0,1,0
465,0.20270270270270271,5,0.0,2,0,1,0.39347012639707085,0,1,0,0,1,0
465,0.20270270270270271,6,0.0,2,1,1,0.4774926005433518,0,0,0,1,0,1
465,0.20270270270270271,8,0.0,2,1,0,0.8883696893053286,0,1,0,0,1,0
465,0.31081081081081086,9,0.46720622703823694,1,1,0,0.8414272062982016,0,1,0,0,1,0
466,0.31081081081081086,2,0.6062309202911829,2,1,0,0.9094267502546493,0,0,1,0,1,0
466,0.5135135135135136,2,0.44607804706683907,3,1,0,0.98820702377077,0,0,1,0,0,1
466,0.16216216216216217,3,0.0,1,1,0,0.969957730963307,0,1,0,0,0,1
466,0.10810810810810811,3,0.6250175519470874,1,1,1,0.6873881955726772,0,1,0,0,1,0
466,0.31081081081081086,3,0.133775231210409,2,1,0,0.8949982223302325,0,1,0,0,0,1
466,0.2972972972972973,4,0.36505682446606114,1,1,0,0.7060604287709475,0,1,0,0,1,0
466,0.24324324324324326,5,0.47644902358563196,1,0,1,0.40300053655124063,0,1,0,0,0,1
466,0.3918918918918919,5,0.4068812161941927,1,1,1,0.9177109413949032,0,0,1,0,0,1
466,0.14864864864864866,6,0.0,2,1,1,0.013929780294018078,0,1,0,0,1,0
466,0.10810810810810811,9,0.42057737466235795,1,1,0,0.05415957223914883,0,1,0,0,1,0
467,0.5270270270270271,1,0.0,2,1,1,0.5722405989772023,0,1,0,0,1,0
467,0.28378378378378377,5,0.0,2,1,1,0.037025435929131226,0,0,0,1,1,0
467,0.13513513513513514,10,0.5034524575296687,1,1,0,0.1617039927313058,0,0,1,0,1,0
467,0.44594594594594594,10,0.4564192178585338,2,1,0,0.8889503947626998,0,0,1,0,1,0
468,0.10810810810810811,1,0.5246881313444834,1,1,0,0.3221536656750719,0,0,0,1,1,0
468,0.05405405405405406,1,0.3041818293634679,1,1,1,0.9739507122930239,0,1,0,0,0,1
468,0.14864864864864866,1,0.4451288568996281,2,1,1,0.9785913554744478,0,0,1,0,1,0
468,0.2702702702702703,3,0.24566536158166852,1,0,0,0.5389306678787823,0,1,0,0,1,0
468,0.13513513513513514,3,0.0,2,1,0,0.8533286928901709,0,0,0,1,1,0
468,0.1891891891891892,8,0.5486270142590564,1,0,0,0.9936084396059823,0,1,0,0,0,1
468,0.32432432432432434,9,0.7239080217788826,2,1,0,0.8633665015008933,0,0,1,0,1,0
468,0.5135135135135136,10,0.0,3,0,1,0.3112561749647091,0,1,0,0,0,1
469,0.40540540540540543,5,0.0,1,1,0,0.8026673047276014,0,1,0,0,0,1
469,0.17567567567567569,6,0.0,1,1,0,0.7310806682038135,0,0,0,1,0,1
469,0.4594594594594595,8,0.5559757350085847,3,0,0,0.7504803708754186,0,0,1,0,0,1
469,0.2702702702702703,9,0.45277116298493947,1,0,0,0.059699251278497095,0,0,1,0,1,0
469,0.2567567567567568,9,0.38572031377361227,1,1,1,0.5994536478233671,0,0,0,1,1,0
470,0.2702702702702703,1,0.38451305069719743,1,0,0,0.029756441740186185,0,1,0,0,1,0
470,0.17567567567567569,2,0.40524509373506995,2,1,0,0.22513235013943828,0,0,0,1,0,1
470,0.16216216216216217,3,0.40311490613579404,1,1,1,0.25449965471702546,0,1,0,0,1,0
470,0.16216216216216217,4,0.4997447768534229,1,1,0,0.34144435793618283,0,0,0,1,1,0
470,0.17567567567567569,4,0.22213369579656825,2,1,1,0.518954310136618,0,0,0,1,1,0
470,0.28378378378378377,5,0.4681977052914194,2,0,0,0.318502016942618,0,0,1,0,1,0
470,0.40540540540540543,6,0.5602916706141525,1,1,1,0.5848532034809324,0,0,0,1,0,1
470,0.21621621621621623,9,0.0,2,0,1,0.44505295255696914,0,0,0,1,1,0
471,0.5405405405405406,4,0.4572118105801444,1,1,1,0.18153458655301577,0,1,0,0,0,1
471,0.12162162162162163,4,0.0,2,1,0,0.6132111116611636,0,1,0,0,0,1
471,0.13513513513513514,5,0.0,2,1,1,0.11173762094280003,0,0,0,1,0,1
471,0.24324324324324326,5,0.3589654269588103,2,1,1,0.4818216139641335,0,0,1,0,0,1
471,0.06756756756756757,6,0.4168726433907887,2,1,0,0.6586861545277575,0,0,1,0,1,0
471,0.10810810810810811,8,0.0,2,1,1,0.8983072383412616,0,0,0,1,1,0
472,0.1891891891891892,1,0.6353087422865595,1,0,1,0.2865853689027302,0,0,0,1,0,1
472,0.2567567567567568,1,0.0,2,1,1,0.24175468757266316,0,1,0,0,0,1
472,0.2972972972972973,4,0.0,1,1,0,0.3507466963094975,0,0,0,1,1,0
472,0.2702702702702703,4,0.2338117440431691,2,0,1,0.36658710906891606,0,1,0,0,1,0
472,0.10810810810810811,5,0.0,2,1,0,0.5420521659818512,0,1,0,0,0,1
472,0.14864864864864866,8,0.40849362384544263,1,0,1,0.9061514374622776,0,1,0,0,1,0
472,0.013513513513513514,9,0.0,2,1,0,0.017210743626016285,0,1,0,0,1,0
473,0.20270270270270271,5,0.5015081222818396,1,0,1,0.7285053222582757,0,1,0,0,0,1
473,0.1891891891891892,5,0.5843099483140746,2,1,1,0.36471167996543663,0,0,1,0,0,1
473,0.22972972972972974,6,0.2774726583211535,1,1,0,0.7167389985743639,0,1,0,0,0,1
473,0.0945945945945946,6,0.44108115769235234,2,0,0,0.2337565237480179,0,1,0,0,0,1
473,0.22972972972972974,7,0.5241360346744769,1,1,0,0.9478347682203649,0,0,1,0,0,1
473,0.40540540540540543,8,0.0,2,1,0,0.3556750669688955,0,0,0,1,1,0
473,0.2972972972972973,8,0.6081204125547549,2,1,0,0.3653453904847912,0,0,1,0,1,0
473,0.28378378378378377,9,0.4667363549877961,2,1,1,0.4296707335550545,0,1,0,0,0,1
474,0.4864864864864865,3,0.0,1,1,0,0.5420397147927626,0,1,0,0,1,0
474,0.20270270270270271,5,0.0,2,1,0,0.9097565817535573,0,1,0,0,1,0
474,0.2567567567567568,5,0.5687112644022122,2,1,1,0.5547617297451906,0,0,1,0,0,1
474,0.10810810810810811,6,0.0,2,0,0,0.7624710159820263,0,1,0,0,1,0
474,0.16216216216216217,9,0.0,2,0,0,0.3157633554004407,0,1,0,0,0,1
474,0.3648648648648649,10,0.0,2,0,0,0.860903816314458,0,1,0,0,1,0
475,0.5270270270270271,1,0.0,2,1,0,0.4462296649330011,0,1,0,0,0,1
475,0.28378378378378377,6,0.0,1,1,1,0.2849688145217868,0,1,0,0,1,0
475,0.2972972972972973,7,0.6409697259951241,1,0,1,0.8482337563237289,0,1,0,0,1,0
