Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,CreditScoreBins
0,0,48.0,9,0.0,1.0,1,0,0.6875498610117267,3
0,0,28.0,9,0.0,2.0,1,1,0.8243441748686999,4
2,0,30.0,2,0.5713094109245711,1.0,1,0,0.728994168943134,0
2,0,44.0,3,0.41932044998828016,2.0,1,1,0.8178120010460997,2
2,1,51.0,4,0.43834064260911676,1.0,0,0,0.8887298737029385,1
0,0,35.0,7,0.6567169164181362,3.0,1,0,0.5990705612385983,1
0,1,41.0,8,0.2937452413448026,3.0,1,1,0.9287808985758139,0
1,1,45.0,10,0.0,2.0,0,1,0.4548729403658049,0
0,1,69.0,10,0.6175971287784615,1.0,1,1,0.35422327832307987,2
2,1,31.0,9,0.6161343037724999,1.0,0,1,0.44300885734587653,3
0,1,36.0,1,0.0,2.0,1,1,0.4768508392551488,1
2,1,34.0,4,0.3539905784057583,2.0,1,0,0.34278613607599523,3
2,1,24.0,2,0.4788220986457092,2.0,1,1,0.6272493523131458,3
0,1,31.0,3,0.3148296186710708,1.0,1,1,0.6238873812449088,2
2,1,42.0,3,0.502359424099243,1.0,0,1,0.058932178023001186,1
0,0,26.0,6,0.5429060061796405,1.0,0,0,0.7987300287177425,0
2,1,42.0,9,0.6109229049930194,1.0,1,1,0.7566991647702355,0
0,0,36.0,2,0.44007700497042446,1.0,1,1,0.24489023701763515,1
1,1,37.0,6,0.0,2.0,0,0,0.6825415827211497,0
0,0,28.0,9,0.0,2.0,1,1,0.2808988258378675,4
1,1,63.0,2,0.48141928860438915,2.0,1,1,0.2609612217966816,0
1,1,38.91621420206537,9,0.40983747624384076,1.0,0,1,0.32294919164780234,3
0,1,28.0,2,0.0,2.0,1,0,0.230326696199487,4
1,0,40.0,7,0.0,2.0,0,1,0.65642278837629,1
1,0,44.0,2,0.0,2.0,0,0,0.2286586368998239,2
2,1,43.0,1,0.5649693865744455,2.0,0,1,0.45451180587746126,2
0,0,41.0,3,0.5218526374592968,1.0,1,1,0.7240530970707701,1
0,1,38.0,2,0.4753814188063369,1.0,0,0,0.9795185940257294,0
2,1,31.0,7,0.5738038898582289,2.0,1,1,0.701323876430199,3
0,0,38.91621420206537,3,0.5749764775012836,1.0,1,0,0.8605976370743406,0
0,1,42.0,5,0.0,2.0,1,0,0.8925487884092931,1
0,1,32.0,9,0.0,2.0,1,0,0.8762896856649809,3
0,1,38.91621420206537,3,0.24566536158166852,1.0,0,0,0.5389306678787824,0
0,1,32.0,7,0.7094972305289372,2.0,1,0,0.11182847961980368,0
0,0,42.0,4,0.0,2.0,1,0,0.607204087990403,2
2,1,22.0,0,0.4501816255356907,1.0,0,0,0.7761739746145756,2
1,0,56.0,2,0.420384786508339,1.0,1,1,0.23018758291416827,2
0,0,39.0,1,0.39462504477415516,1.0,1,0,0.974764189980143,2
1,1,45.0,9,0.0,2.0,1,0,0.13371767003748858,0
2,1,43.0,0,0.5269767099462576,1.0,1,0,0.1047272514525137,3
0,1,40.0,7,0.0,2.0,0,1,0.790376030910952,0
0,1,38.0,8,0.0,2.0,1,0,0.4432816333959893,1
0,1,30.0,2,0.4277278077326137,1.0,1,0,0.3214719005665041,0
1,0,33.0,8,0.3856906204427463,1.0,1,1,0.1842799487351042,1
1,0,34.0,5,0.0,2.0,0,1,0.5583785751539272,3
2,0,38.91621420206537,10,0.3605049364863639,2.0,0,0,0.5168880128052229,2
0,0,31.0,2,0.0,2.0,1,0,0.0759524034545299,1
0,1,48.0,7,0.49328773287991157,1.0,1,1,0.8497873546923731,2
1,0,26.0,4,0.611625700299273,2.0,1,1,0.4134657859825613,1
0,0,35.0,7,0.42945336889571384,1.0,1,1,0.019630824743763025,0
0,0,27.0,2,0.0,1.0,1,1,0.2893499829233692,3
2,1,38.0,10,0.527190621498952,2.0,1,1,0.23277442995806094,0
2,0,46.0,10,0.4803956060406837,1.0,1,0,0.8329565973550473,2
0,1,54.0,3,0.0,1.0,1,0,0.7845693263706683,0
1,0,36.0,1,0.0,2.0,1,1,0.09646521242778684,1
0,1,32.0,1,0.0,1.0,1,1,0.5099215975125625,1
0,0,42.0,6,0.0,2.0,0,0,0.6056937937573038,1
0,1,38.91621420206537,7,0.0,2.0,0,1,0.2174446659655997,1
1,1,56.0,6,0.37557531824973245,1.0,0,0,0.6058229560923069,3
1,0,50.0,5,0.0,2.0,1,0,0.551146734513146,2
0,1,35.0,10,0.22865702166166355,1.0,1,1,0.5084895107482764,0
1,0,45.0,1,0.627029524218379,1.0,1,0,0.31094139490321326,0
0,1,30.0,10,0.0,2.0,1,1,0.27129575874496015,2
1,1,31.0,4,0.0,2.0,1,1,0.10817773097330795,0
0,0,26.0,4,0.36488057760822334,2.0,0,1,0.14074224088400442,1
2,1,35.0,2,0.4358057090032053,2.0,0,1,0.4301995340555023,2
2,1,51.0,7,0.3601991549636747,2.0,1,0,0.8993369366774526,0
2,0,36.0,2,0.5171364198109281,2.0,0,0,0.23632271881964725,3
0,1,27.0,2,0.0,2.0,0,0,0.13110082012832225,2
2,1,43.0,5,0.5454642560252253,2.0,1,0,0.8553763884450964,0
2,0,34.0,7,0.48252200724206395,1.0,1,0,0.2848922072057882,2
1,1,34.0,10,0.3874420088251769,1.0,1,1,0.297737233905838,4
2,0,38.0,10,0.45247789650371595,1.0,1,0,0.23018648280910825,1
0,0,44.0,9,0.541314204504307,2.0,0,0,0.5754539558527839,0
0,1,33.0,0,0.5271303181303613,2.0,0,1,0.37291976383744646,1
0,0,37.0,1,0.0,2.0,0,1,0.7805417917411113,0
2,1,46.0,4,0.5152262020009798,1.0,1,0,0.8175418252443107,1
0,1,37.0,8,0.0,2.0,1,1,0.8517151888005304,2
2,1,38.91621420206537,2,0.5583156093376399,3.0,1,1,0.7895584528322455,2
1,0,48.0,8,0.0,2.0,1,0,0.9162062476966549,2
2,1,60.0,1,0.6532307599471961,1.0,0,1,0.2852778940388807,0
1,1,44.0,9,0.4006594470288714,1.0,1,1,0.23645943187574409,1
2,0,45.0,7,0.5290841393013396,2.0,1,0,0.13309921097464808,3
1,0,38.0,1,0.3863682660956088,1.0,1,1,0.5130256939537725,0
0,1,29.0,7,0.0,2.0,1,1,0.6907361653037865,1
1,0,25.0,6,0.0,2.0,1,1,0.0764808539215495,0
0,1,44.0,2,0.4427916529775098,2.0,1,0,0.5006784147886123,3
0,1,31.0,7,0.0,1.0,1,0,0.9913821769979032,0
0,0,68.0,2,0.7315928152342651,1.0,0,0,0.7978046903479281,3
1,1,33.0,1,0.0,1.0,1,0,0.653639322555304,2
1,0,34.0,8,0.5065608112042623,2.0,0,0,0.002340023472241599,3
2,1,45.0,4,0.4899109036661061,1.0,1,1,0.0,2
2,1,33.0,3,0.28634394944975466,1.0,1,0,0.13381507934007697,0
0,1,39.0,9,0.33766689893892776,1.0,0,0,0.9553501359379819,0
0,1,38.0,0,0.41957896132250355,1.0,0,1,0.8991952231438102,1
2,1,32.0,1,0.6055165266503225,1.0,1,0,0.04433163367101557,3
0,1,43.0,3,0.2644048824763871,1.0,1,1,0.0938135591949031,2
0,1,46.0,10,0.3806414389204797,1.0,0,0,0.0991624700158865,1
1,1,38.91621420206537,2,0.0,2.0,1,1,0.46456911635061143,2
1,1,45.0,3,0.0,2.0,0,0,0.8182952972008827,1
0,1,38.0,8,0.0,2.0,0,1,0.9849901165561311,0
0,1,63.0,8,0.549392504343098,1.0,1,1,0.21391397878497395,1
0,0,41.0,4,0.1539158787538,1.0,1,1,0.5243761779249918,1
1,0,31.0,8,0.7376630886269403,1.0,0,0,0.5766858735009194,2
0,1,37.0,2,0.0,2.0,1,1,0.6336154602764564,0
0,1,36.0,6,0.4935927969798416,2.0,1,0,0.48415333664364946,1
0,0,55.0,5,0.0,1.0,0,0,0.05012073653033864,0
1,0,38.91621420206537,7,0.5896275256619133,1.0,1,1,0.5339215895117984,3
0,0,48.0,6,0.0,2.0,1,1,0.959385121279082,0
0,1,31.0,1,0.47535909898716255,1.0,1,1,0.1412437387770532,1
0,0,44.0,1,0.0,2.0,1,1,0.05728447066694868,3
0,0,38.91621420206537,2,0.27458467300408707,2.0,1,0,0.03947116949668693,0
0,0,40.0,7,0.41874268552622307,3.0,1,0,0.5390701311975293,2
0,1,36.0,4,0.0,2.0,1,1,0.0401310825183805,4
1,0,38.91621420206537,6,0.0,2.0,1,1,0.8500669813967233,4
2,1,44.0,3,0.46561813204715913,1.0,0,0,0.9882526781307613,3
2,0,37.0,6,0.38398383184184465,2.0,1,1,0.6968948534585052,1
0,0,27.0,3,0.0,2.0,0,1,0.6284969714607744,1
0,1,41.0,6,0.0,1.0,1,1,0.8381280412279372,0
2,1,52.0,8,0.3857398436153899,1.0,1,1,0.7668838874112477,2
2,1,23.0,0,0.7487549227656536,2.0,1,1,0.5205926665996602,2
0,0,42.0,5,0.49671988335981365,1.0,1,1,0.39000184517621433,1
2,0,38.91621420206537,2,0.3906332248284553,2.0,0,1,0.1568813821719974,2
1,1,23.0,5,0.657248646253146,1.0,0,0,0.705770901121057,2
0,0,35.0,1,0.42354567147163225,1.0,1,1,0.08298577514152601,3
1,1,21.0,7,0.46273696224630495,1.0,1,1,0.7404509130621973,0
2,1,36.0,8,0.46629860753423835,2.0,1,0,0.8441038119140377,3
0,1,43.0,1,0.531041149017914,1.0,1,0,0.5551590676909645,2
0,1,33.0,2,0.0,1.0,1,0,0.4820910396942908,1
0,1,35.0,10,0.0,2.0,1,0,0.3579475839942714,2
1,1,41.0,1,0.28900144277702555,1.0,1,0,0.12857302872424314,3
2,0,44.0,4,0.3631584441316393,2.0,0,0,0.12099785529518067,2
1,0,45.0,3,0.0,1.0,1,0,0.1913445734067603,1
0,1,41.0,10,0.0,2.0,1,1,0.7313007892253709,2
1,1,30.0,6,0.5395422500027801,1.0,1,1,0.8984731541862246,0
0,1,31.0,1,0.0,2.0,0,1,0.9633368486690478,0
0,1,39.0,0,0.34613101279487624,1.0,0,1,0.7991713208611422,2
1,1,41.0,7,0.5049213407722635,1.0,0,1,0.5738745550200044,0
0,0,46.0,6,0.24795840414727752,1.0,0,1,0.8584333803878269,0
1,1,40.0,4,0.0,2.0,0,1,0.4080936729457663,4
1,1,38.0,7,0.0,2.0,1,1,0.030963357000593553,0
1,0,38.91621420206537,5,0.3029180891731779,1.0,1,1,0.7933622160916367,0
2,1,38.91621420206537,6,0.19079336155966756,2.0,1,1,0.7753259936323919,0
0,1,34.0,3,0.0,2.0,1,1,0.5235118953860094,0
1,0,48.0,10,0.5991114559700316,1.0,0,1,0.667437640294648,1
1,1,36.0,5,0.0,2.0,1,0,0.39859906621082314,0
2,0,29.0,8,0.3196680771862393,2.0,1,0,0.3510917292601443,3
2,0,49.0,10,0.573492687808026,2.0,1,1,0.8312033799227826,1
0,0,43.0,10,0.0,2.0,1,1,0.5805550930113825,3
2,1,37.0,3,0.37729075578056415,2.0,1,0,0.6061982419321045,2
2,1,54.0,3,0.5770029576550384,1.0,1,0,0.46666816680993034,3
0,1,39.0,4,0.0,2.0,1,0,0.775135775466557,2
2,1,30.0,6,0.4190101646449362,2.0,1,1,0.314832816533979,3
1,1,38.0,5,0.5040851048328029,1.0,1,0,0.459848465528458,1
0,1,56.0,9,0.5665540140221873,1.0,0,0,0.19740115180999784,0
0,0,42.0,8,0.0,2.0,1,1,0.526520982753853,2
1,1,55.0,2,0.2800492821607371,1.0,0,1,0.31171041834495195,1
0,0,35.0,4,0.36035794453437253,1.0,1,1,0.10272796052022967,1
0,1,42.0,7,0.4586565804466667,1.0,1,1,0.39659802511139813,1
1,0,62.0,0,0.665714952234192,2.0,1,1,0.9644944592208554,1
0,1,45.0,7,0.595319717260502,1.0,0,1,0.8672952766989247,1
0,0,38.91621420206537,7,0.5836841563839725,2.0,1,0,0.9216188145967938,0
1,0,36.0,7,0.0,2.0,1,0,0.40307604376217926,0
2,0,57.0,5,0.3450355082416132,1.0,0,1,0.5182931469955381,0
1,0,48.0,2,0.5146338100859995,1.0,0,1,0.1323336878671913,0
0,0,32.0,2,0.0,1.0,1,1,0.40063306045727365,0
1,1,50.0,7,0.5104104220163653,2.0,1,1,0.3118473814249261,0
0,0,65.0,0,0.0,2.0,1,1,0.9523032449598936,1
2,0,38.0,6,0.716970025558983,2.0,0,0,0.7656281174852198,3
1,0,44.0,7,0.0,3.0,1,0,0.7792841216336159,2
0,0,38.0,5,0.46748032238906245,1.0,0,0,0.42614219657977337,0
0,0,81.0,1,0.0,2.0,1,1,0.2978117410212675,4
1,1,22.0,3,0.0,1.0,1,1,0.7219387451501619,4
0,1,34.0,4,0.3987864953455804,1.0,1,0,0.5474766340185487,2
0,1,29.0,7,0.0,2.0,1,1,0.27733433542903346,0
2,0,69.0,5,0.34292094451575944,3.0,0,0,0.9637494380713357,1
0,0,39.0,3,0.6272329135706056,1.0,0,1,0.4886602670555038,3
0,1,43.0,6,0.5131976891494073,1.0,1,0,0.1816733998096818,2
2,0,38.0,8,0.6100430656925289,1.0,1,0,0.49687590164860745,0
0,1,58.0,3,0.0,2.0,0,1,0.16390785319998055,0
0,1,32.0,7,0.0,1.0,1,0,0.9903163752138329,1
2,1,33.0,1,0.5282140649217378,2.0,0,1,0.5371419470559439,0
0,1,34.0,8,0.4547197629125037,1.0,1,0,0.46395945812825123,2
0,0,43.0,7,0.0,2.0,1,1,0.3884951512869479,0
2,1,28.0,10,0.5034524575296687,1.0,1,0,0.16170399273130584,0
0,1,51.0,7,0.0,3.0,1,0,0.1920093868964486,2
0,0,43.0,8,0.0,2.0,0,0,0.840200439141938,2
0,1,38.91621420206537,1,0.0,2.0,0,0,0.44071848861566276,0
0,1,49.0,4,0.0,1.0,1,1,0.9515167698515208,0
0,0,42.0,2,0.0,1.0,1,1,0.5067348931822989,1
2,1,31.0,4,0.3098589152272941,2.0,1,0,0.3766564706929511,1
0,0,47.0,9,0.0,2.0,1,0,0.5189280576295036,0
0,0,38.91621420206537,4,0.0,2.0,0,0,0.4124856923836226,2
0,1,34.0,5,0.48806019208834955,2.0,1,0,0.6944233174268143,2
0,0,27.0,5,0.31621049805520646,1.0,1,1,0.13080499187672423,1
2,0,33.0,5,0.46539094817341975,1.0,0,0,0.9533289929188238,2
1,1,61.0,1,0.60968471302432,1.0,0,1,0.4148351667584254,1
1,1,43.0,7,0.0,2.0,1,1,0.18097308292941974,0
1,1,38.0,1,0.5392202467543695,2.0,0,1,0.7647967880932628,0
1,1,42.0,3,0.7079638190948365,3.0,0,1,0.0819135227414218,2
1,0,65.0,1,0.0,1.0,1,1,0.8883053331593166,1
0,1,77.0,9,0.0,3.0,1,1,0.40755132115116993,1
0,1,52.0,1,0.2524919579897958,1.0,1,0,0.5444312931884995,1
1,1,37.0,3,0.0,2.0,0,0,0.28584599829283697,0
1,1,35.0,9,0.0,2.0,0,0,0.7188810531405748,2
0,0,37.0,10,0.0,2.0,1,1,0.06962639932113517,2
0,0,43.0,5,0.5016057714907276,1.0,1,1,0.9666260627889962,2
0,0,38.0,8,0.0,2.0,1,0,0.6831105370562889,0
0,1,38.91621420206537,1,0.0,2.0,1,1,0.7319084972614883,1
1,1,34.0,8,0.0,2.0,1,1,0.9030034368282169,1
0,0,33.0,3,0.0,2.0,1,0,0.6621888890389032,0
2,1,29.0,1,0.6163474979024353,1.0,1,1,0.820217980817168,4
2,1,33.0,8,0.6042595222626048,1.0,1,0,0.021891190608703127,3
1,0,26.0,9,0.0,2.0,0,1,0.7946081350768998,0
0,1,33.0,5,0.5617084211362471,1.0,0,1,0.0545548099843535,0
2,0,40.0,4,0.311359843353132,4.0,1,0,0.5962957462437662,2
1,0,37.0,3,0.0,3.0,0,0,0.494475922450594,3
1,1,38.0,0,0.7096767456460112,2.0,1,0,0.192134098806436,0
2,1,36.0,3,0.5809038641944226,2.0,0,1,0.4478185666731173,2
2,1,33.0,0,0.4124045743034553,1.0,1,1,0.8135347925726907,1
1,1,38.91621420206537,10,0.0,2.0,1,1,0.2647285815795408,0
0,1,40.0,8,0.4543907847206011,1.0,1,1,0.3399668168310073,2
2,0,24.0,2,0.43636657417360175,2.0,0,1,0.637806860555183,1
2,0,38.91621420206537,7,0.5224518448904893,2.0,1,1,0.35306581778559853,0
2,0,26.0,4,0.4188237144411901,2.0,1,0,0.6640133632761929,1
0,1,45.0,8,0.3861217516641917,1.0,1,1,0.5697490610353289,3
2,0,34.0,2,0.3637274400933065,2.0,1,0,0.22425051592427075,1
2,0,33.0,10,0.40727858868913674,2.0,1,0,0.11611283877610311,2
1,1,31.0,7,0.0,1.0,1,1,0.7498666622662463,2
0,1,48.0,0,0.5903451875620098,1.0,0,0,0.5848653546413682,0
2,0,24.0,7,0.16032286256144876,1.0,1,1,0.8917339105884611,1
0,1,23.0,2,0.0,1.0,0,0,0.994191945330779,0
1,1,34.0,9,0.5039348446215752,1.0,1,0,0.871267906085031,0
2,0,38.91621420206537,4,0.41935185716240414,1.0,1,0,0.5434919534815574,2
1,0,63.0,3,0.5561219298241769,2.0,1,1,0.8785067973991516,1
0,1,36.0,4,0.0,1.0,1,1,0.9851121782130193,0
2,1,41.0,9,0.41260876079208103,2.0,1,1,0.1716495425313117,0
2,1,50.0,1,0.45419640300968417,2.0,1,0,0.982668694860359,1
0,1,41.0,4,0.47925231316029554,1.0,1,0,0.8157701560499027,0
2,1,27.0,3,0.6391387036864251,2.0,1,0,0.7118486815490879,2
0,0,38.0,4,0.5486452686825954,2.0,1,1,0.8631728830103275,0
1,0,46.0,3,0.3251389837204421,1.0,1,1,0.14181039289252123,4
2,1,51.0,8,0.38960069405072,3.0,1,1,0.9651055675817041,0
2,1,24.0,6,0.6217946497719453,1.0,1,0,0.9568753315941672,0
2,0,24.0,10,0.4870515754025868,2.0,1,0,0.21849076586814037,3
1,1,30.0,9,0.5452752948418221,2.0,1,1,0.5332078713517141,1
0,1,41.0,1,0.0,2.0,1,0,0.45302191359274807,0
0,0,35.0,2,0.5123534021323161,4.0,1,0,0.37737288911091005,4
0,0,26.0,5,0.0,2.0,1,0,0.5420521659818512,0
0,0,57.0,9,0.44384375345384264,2.0,1,0,0.5285676282084939,2
0,0,48.0,9,0.0,1.0,1,0,0.7494776251131983,0
0,1,44.0,3,0.4601511713381318,2.0,0,0,0.3361458519288592,0
1,1,49.0,5,0.0,1.0,1,0,0.7497458507287446,1
0,1,27.0,5,0.5190625404920381,2.0,1,1,0.9621697872146789,1
2,0,46.0,3,0.444454359935542,3.0,1,0,0.7979020496457411,3
0,0,51.0,3,0.0,3.0,1,1,0.3864518061474871,2
0,0,37.0,4,0.3675139177026019,1.0,0,1,0.9885355051407408,1
0,0,39.0,5,0.0,2.0,0,0,0.5913589247773162,1
0,1,28.0,5,0.0,1.0,1,1,0.7596408957055398,2
1,1,45.0,6,0.0,1.0,0,0,0.7934419237037137,1
0,0,62.0,1,0.42940115646157373,1.0,0,1,0.29187882442773283,0
1,1,35.0,7,0.0,2.0,1,1,0.39216135140905956,1
1,0,28.0,5,0.0,2.0,0,1,0.4334833976644769,3
0,0,34.0,3,0.5232527278306502,1.0,0,0,0.652507664481958,1
0,1,38.91621420206537,4,0.6366410362071708,1.0,1,1,0.590939284701689,2
2,0,47.0,0,0.5045789308320363,2.0,1,1,0.19395457266168917,1
0,1,33.0,5,0.6564592819339519,1.0,0,1,0.9036088946494389,1
0,1,61.0,10,0.2936977320154171,1.0,1,1,0.8607309498057063,2
0,1,29.0,1,0.0,2.0,0,0,0.7649996074625127,4
0,1,32.0,9,0.4009836025455595,1.0,1,0,0.8284865204627041,2
1,1,41.0,7,0.0,1.0,1,0,0.8187007359202804,3
0,1,36.0,4,0.0,2.0,1,1,0.976159873267897,1
0,0,28.0,9,0.33936631402813794,1.0,0,0,0.013962883455369987,0
1,1,41.0,0,0.0,2.0,1,0,0.3295039176241331,1
1,0,29.0,9,0.0,2.0,1,0,0.1367511097309793,1
2,0,23.0,7,0.39368665580515183,1.0,1,0,0.5730166230875049,2
0,1,45.0,7,0.47280770451460996,2.0,1,0,0.7356746569297367,4
0,1,34.0,1,0.5004697325515711,1.0,1,1,0.8838428569928427,0
0,0,44.0,3,0.0,2.0,1,1,0.9451130582970674,3
1,0,31.0,4,0.0,2.0,0,1,0.39633004951972917,2
2,1,62.0,4,0.4333097553672091,2.0,1,1,0.3711829979763067,1
1,1,60.0,2,0.0,1.0,1,0,0.8874290994790003,1
1,0,38.0,4,0.35367523124628014,2.0,1,0,0.3350742495908359,1
1,0,49.0,10,0.0,2.0,1,1,0.7991973233443793,1
0,1,26.0,7,0.0,2.0,1,0,0.7718391106350656,2
1,0,25.0,3,0.5874365962690271,3.0,1,0,0.22737401421835784,1
0,1,30.0,2,0.0,2.0,1,1,0.7044559755456646,2
0,1,54.0,7,0.4453181369375909,2.0,0,1,0.42458509787684723,2
0,1,35.0,2,0.0,2.0,1,1,0.28492761058681104,4
0,1,42.0,5,0.396894731243271,1.0,1,0,0.10499192672900261,2
2,0,57.0,9,0.5914139880459035,1.0,0,0,0.775251686536064,2
0,1,34.0,8,0.0,2.0,0,0,0.24126609091168205,2
0,0,47.0,9,0.547241591197446,1.0,1,0,0.22172212446288617,4
1,1,66.0,8,0.49396689309193237,1.0,1,1,0.32876444700468893,1
2,1,33.0,4,0.3509268643695136,1.0,0,1,0.9347438180346221,2
1,0,38.91621420206537,3,0.5536176461128102,1.0,1,0,0.3784080879724014,0
2,1,45.0,9,0.6787418748385052,2.0,0,0,0.8237298161974468,0
0,1,35.0,10,0.0,2.0,1,0,0.05355991497187981,0
1,1,39.0,4,0.4459983732837504,1.0,1,1,0.48787454201876274,0
1,1,47.0,4,0.0,1.0,1,0,0.6089928588180171,2
0,1,26.0,4,0.5973726623427066,1.0,0,0,0.25004682947221457,0
0,1,38.91621420206537,3,0.5009575401709914,1.0,1,1,0.7581330517064379,2
1,1,26.0,5,0.3332039713813685,1.0,0,1,0.295945612806023,2
0,0,57.0,4,0.0,1.0,0,0,0.42936645449640437,3
0,1,40.0,6,0.476296491535667,2.0,1,0,0.23383913163707132,1
0,1,45.0,3,0.5149878980744732,1.0,0,0,0.30072966968345477,4
2,0,38.91621420206537,6,0.2304095658918727,1.0,1,0,0.9413244464846392,1
1,0,26.0,5,0.0,2.0,1,0,0.5969061545377583,0
0,1,28.0,2,0.4586029730238282,1.0,1,0,0.8953087519858146,0
1,1,51.0,0,0.6748243081483802,1.0,1,0,0.5453859343567311,2
1,1,58.0,9,0.4357452462073346,1.0,1,1,0.019089573054226677,2
0,0,47.0,6,0.37753527737098364,1.0,0,1,0.3072262401059301,3
0,1,25.0,1,0.6291340440256042,1.0,0,0,0.18767967340881053,1
0,1,37.0,5,0.0,2.0,0,1,0.851155735372728,0
2,1,50.0,9,0.376664286284523,1.0,0,1,0.02533901987639819,2
0,0,31.0,3,0.3920318006406506,1.0,0,0,0.10482111041604472,1
0,0,34.0,4,0.35382042964137356,1.0,1,1,0.8441327646790269,1
2,0,36.0,1,0.4159335768558462,2.0,0,1,0.2708882698297687,0
2,0,42.0,10,0.5129864081468297,1.0,1,0,0.3154354740877754,0
2,1,26.0,4,0.4075405277098762,1.0,1,1,0.7295162187988953,0
1,1,66.0,8,0.0,2.0,1,1,0.5837359467829177,0
2,1,40.0,4,0.37864509052261025,1.0,0,1,0.6160158795164938,1
0,0,30.0,8,0.0,2.0,1,1,0.9807079576099517,2
2,1,30.0,9,0.5208573329513988,2.0,1,1,0.28928412663409353,1
2,1,46.0,6,0.5622935192531757,1.0,0,0,0.1728626083791002,1
1,1,30.0,3,0.0,2.0,0,1,0.05238055234274873,1
0,1,30.0,6,0.0,2.0,1,1,0.9029849350612983,4
1,1,31.0,4,0.41223952721202467,2.0,0,1,0.18235586498510603,1
2,1,29.0,0,0.6883015331045367,1.0,0,0,0.7090047099498002,2
1,0,74.0,3,0.0,2.0,1,1,0.806652785341,0
0,1,40.0,1,0.5625263627953486,1.0,1,1,0.3389936238910816,1
0,0,44.0,2,0.0,1.0,0,1,0.8656108658376874,1
2,1,41.0,2,0.509823370915259,2.0,1,1,0.22099295482718595,1
0,1,33.0,9,0.0,2.0,1,1,0.00553417851404809,3
0,1,34.0,9,0.0,2.0,0,0,0.07055688818282145,2
2,1,29.0,7,0.46921971386868677,1.0,1,1,0.8770175551765192,3
1,1,44.0,4,0.4293652853236149,2.0,1,0,0.7653395399260629,2
2,1,42.0,1,0.5951917768684489,2.0,1,0,0.5041613474086775,1
2,0,47.0,7,0.4567741428402265,2.0,1,0,0.7659868517443416,2
2,0,37.0,9,0.6261447426722141,1.0,1,1,0.7676917645635157,1
1,0,34.0,7,0.0,2.0,1,0,0.4947385975360647,2
1,1,46.0,4,0.0,1.0,1,0,0.11181667849279604,0
0,0,45.0,4,0.0,2.0,0,1,0.6052658528889509,0
0,0,50.0,8,0.5513794863882783,1.0,0,1,0.015739353108221832,1
0,0,40.0,1,0.5561315353177858,1.0,1,0,0.9065006208092873,0
0,1,35.0,4,0.44176394487498893,1.0,0,0,0.6321014656899734,4
0,0,33.0,3,0.5354706765603517,1.0,1,0,0.3157922081558789,0
1,0,40.0,8,0.0,2.0,1,0,0.4010022957192412,1
2,0,22.0,10,0.461317182605894,1.0,0,0,0.21922328582379616,0
1,1,50.0,0,0.634935363597228,1.0,0,1,0.7795927511077307,0
0,0,57.0,1,0.0,2.0,1,0,0.4462296649330011,0
2,1,59.0,3,0.425749155762804,1.0,0,1,0.8178714567241171,2
0,0,52.0,2,0.3167380030673012,1.0,1,1,0.42301264770785607,1
